"","df.location","df.parameter","df.value","df.unit","df.country","df.city","date","averagingPeriod"
"8986","Fisherman's Landing","pm25",7.7,"µg/m³","AU","Gladstone","2019-10-18T16:00:00.000Z",1
"8987","Clinton","pm25",10.4,"µg/m³","AU","Gladstone","2019-10-18T16:00:00.000Z",1
"8988","Blackwater","pm25",8.4,"µg/m³","AU","Central Queensland","2019-10-18T16:00:00.000Z",1
"8989","West Mackay","pm25",8.1,"µg/m³","AU","Central Queensland","2019-10-18T16:00:00.000Z",1
"8990","South Gladstone","pm25",8,"µg/m³","AU","Gladstone","2019-10-18T16:00:00.000Z",1
"8991","Boyne Island","pm25",9.3,"µg/m³","AU","Gladstone","2019-10-18T16:00:00.000Z",1
"8992","Boat Creek","pm25",11,"µg/m³","AU","Gladstone","2019-10-18T16:00:00.000Z",1
"89981","Rocklea","pm25",10.1,"µg/m³","AU","South East Queensland","2019-10-18T16:00:00.000Z",1
"90051","Upper Humbug","pm25",11.3,"µg/m³","AU","South West Queensland","2019-10-18T16:00:00.000Z",1
"90061","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-10-18T16:00:00.000Z",1
"90071","Hopeland","pm25",10.8,"µg/m³","AU","South West Queensland","2019-10-18T16:00:00.000Z",1
"90081","Lytton","pm25",9.1,"µg/m³","AU","South East Queensland","2019-10-18T16:00:00.000Z",1
"90091","Cannon Hill","pm25",8.8,"µg/m³","AU","South East Queensland","2019-10-18T16:00:00.000Z",1
"90101","Wynnum","pm25",5,"µg/m³","AU","South East Queensland","2019-10-18T16:00:00.000Z",1
"90171","Upper Humbug","pm25",11.2,"µg/m³","AU","South West Queensland","2019-10-18T15:00:00.000Z",1
"9018","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-10-18T15:00:00.000Z",1
"90191","North Ward","pm25",7.4,"µg/m³","AU","Townsville","2019-10-18T15:00:00.000Z",1
"90201","Cannon Hill","pm25",9.1,"µg/m³","AU","South East Queensland","2019-10-18T15:00:00.000Z",1
"90211","Wynnum","pm25",4.8,"µg/m³","AU","South East Queensland","2019-10-18T15:00:00.000Z",1
"90221","Lytton","pm25",9.1,"µg/m³","AU","South East Queensland","2019-10-18T15:00:00.000Z",1
"90231","Springwood","pm25",7.6,"µg/m³","AU","South East Queensland","2019-10-18T15:00:00.000Z",1
"90241","South Brisbane","pm25",10.4,"µg/m³","AU","South East Queensland","2019-10-18T15:00:00.000Z",1
"90251","Woolloongabba","pm25",11.6,"µg/m³","AU","South East Queensland","2019-10-18T15:00:00.000Z",1
"9026","Wynnum West","pm25",6.6,"µg/m³","AU","South East Queensland","2019-10-18T15:00:00.000Z",1
"90271","Hopeland","pm25",10.5,"µg/m³","AU","South West Queensland","2019-10-18T15:00:00.000Z",1
"9031","Clinton","pm25",10.3,"µg/m³","AU","Gladstone","2019-10-18T15:00:00.000Z",1
"9032","Moranbah","pm25",9.8,"µg/m³","AU","Central Queensland","2019-10-18T15:00:00.000Z",1
"9033","South Gladstone","pm25",8,"µg/m³","AU","Gladstone","2019-10-18T15:00:00.000Z",1
"9034","West Mackay","pm25",8,"µg/m³","AU","Central Queensland","2019-10-18T15:00:00.000Z",1
"9035","Fisherman's Landing","pm25",7.3,"µg/m³","AU","Gladstone","2019-10-18T15:00:00.000Z",1
"9036","Boat Creek","pm25",10.8,"µg/m³","AU","Gladstone","2019-10-18T15:00:00.000Z",1
"90371","Blackwater","pm25",8.3,"µg/m³","AU","Central Queensland","2019-10-18T15:00:00.000Z",1
"9038","Rocklea","pm25",9.8,"µg/m³","AU","South East Queensland","2019-10-18T15:00:00.000Z",1
"90391","Boyne Island","pm25",9.2,"µg/m³","AU","Gladstone","2019-10-18T15:00:00.000Z",1
"90401","Targinie","pm25",10.6,"µg/m³","AU","Gladstone","2019-10-18T15:00:00.000Z",1
"9043","Southport","pm25",7.9,"µg/m³","AU","South East Queensland","2019-10-18T15:00:00.000Z",1
"9044","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-10-18T14:00:00.000Z",1
"9045","Hopeland","pm25",10.4,"µg/m³","AU","South West Queensland","2019-10-18T14:00:00.000Z",1
"9046","South Gladstone","pm25",7.9,"µg/m³","AU","Gladstone","2019-10-18T14:00:00.000Z",1
"9047","Clinton","pm25",10.2,"µg/m³","AU","Gladstone","2019-10-18T14:00:00.000Z",1
"9048","Cannon Hill","pm25",9.2,"µg/m³","AU","South East Queensland","2019-10-18T14:00:00.000Z",1
"9049","Fisherman's Landing","pm25",7.3,"µg/m³","AU","Gladstone","2019-10-18T14:00:00.000Z",1
"9050","Boat Creek","pm25",10.7,"µg/m³","AU","Gladstone","2019-10-18T14:00:00.000Z",1
"9051","Boyne Island","pm25",9.2,"µg/m³","AU","Gladstone","2019-10-18T14:00:00.000Z",1
"9052","Springwood","pm25",7.6,"µg/m³","AU","South East Queensland","2019-10-18T14:00:00.000Z",1
"9053","South Brisbane","pm25",10.3,"µg/m³","AU","South East Queensland","2019-10-18T14:00:00.000Z",1
"90541","Wynnum West","pm25",6.5,"µg/m³","AU","South East Queensland","2019-10-18T14:00:00.000Z",1
"90551","Woolloongabba","pm25",11.5,"µg/m³","AU","South East Queensland","2019-10-18T14:00:00.000Z",1
"90561","Rocklea","pm25",9.8,"µg/m³","AU","South East Queensland","2019-10-18T14:00:00.000Z",1
"90571","Southport","pm25",7.9,"µg/m³","AU","South East Queensland","2019-10-18T14:00:00.000Z",1
"90581","Wynnum","pm25",4.4,"µg/m³","AU","South East Queensland","2019-10-18T14:00:00.000Z",1
"90591","Targinie","pm25",10.6,"µg/m³","AU","Gladstone","2019-10-18T14:00:00.000Z",1
"90601","Lytton","pm25",9.1,"µg/m³","AU","South East Queensland","2019-10-18T14:00:00.000Z",1
"90611","Upper Humbug","pm25",11,"µg/m³","AU","South West Queensland","2019-10-18T14:00:00.000Z",1
"90621","Moranbah","pm25",9.8,"µg/m³","AU","Central Queensland","2019-10-18T14:00:00.000Z",1
"90631","North Ward","pm25",7.4,"µg/m³","AU","Townsville","2019-10-18T14:00:00.000Z",1
"90641","Blackwater","pm25",8.3,"µg/m³","AU","Central Queensland","2019-10-18T14:00:00.000Z",1
"90651","West Mackay","pm25",8,"µg/m³","AU","Central Queensland","2019-10-18T14:00:00.000Z",1
"90771","Upper Humbug","pm25",11.1,"µg/m³","AU","South West Queensland","2019-10-18T13:00:00.000Z",1
"90781","Hopeland","pm25",10.5,"µg/m³","AU","South West Queensland","2019-10-18T13:00:00.000Z",1
"9079","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-10-18T13:00:00.000Z",1
"90801","North Ward","pm25",7.5,"µg/m³","AU","Townsville","2019-10-18T13:00:00.000Z",1
"9081","South Brisbane","pm25",10.2,"µg/m³","AU","South East Queensland","2019-10-18T13:00:00.000Z",1
"9082","Wynnum","pm25",4.2,"µg/m³","AU","South East Queensland","2019-10-18T13:00:00.000Z",1
"9083","Lytton","pm25",9.2,"µg/m³","AU","South East Queensland","2019-10-18T13:00:00.000Z",1
"90841","Wynnum West","pm25",6.5,"µg/m³","AU","South East Queensland","2019-10-18T13:00:00.000Z",1
"90851","Cannon Hill","pm25",9.1,"µg/m³","AU","South East Queensland","2019-10-18T13:00:00.000Z",1
"90861","Woolloongabba","pm25",11.4,"µg/m³","AU","South East Queensland","2019-10-18T13:00:00.000Z",1
"9087","Boyne Island","pm25",9.1,"µg/m³","AU","Gladstone","2019-10-18T13:00:00.000Z",1
"9088","Rocklea","pm25",9.6,"µg/m³","AU","South East Queensland","2019-10-18T13:00:00.000Z",1
"9089","Southport","pm25",7.7,"µg/m³","AU","South East Queensland","2019-10-18T13:00:00.000Z",1
"9090","Springwood","pm25",7.6,"µg/m³","AU","South East Queensland","2019-10-18T13:00:00.000Z",1
"9091","Clinton","pm25",10,"µg/m³","AU","Gladstone","2019-10-18T13:00:00.000Z",1
"90921","Boat Creek","pm25",10.5,"µg/m³","AU","Gladstone","2019-10-18T13:00:00.000Z",1
"90931","Targinie","pm25",10.4,"µg/m³","AU","Gladstone","2019-10-18T13:00:00.000Z",1
"9094","Moranbah","pm25",9.8,"µg/m³","AU","Central Queensland","2019-10-18T13:00:00.000Z",1
"90951","Fisherman's Landing","pm25",7.1,"µg/m³","AU","Gladstone","2019-10-18T13:00:00.000Z",1
"90961","South Gladstone","pm25",7.9,"µg/m³","AU","Gladstone","2019-10-18T13:00:00.000Z",1
"90971","West Mackay","pm25",7.9,"µg/m³","AU","Central Queensland","2019-10-18T13:00:00.000Z",1
"90981","Blackwater","pm25",8.3,"µg/m³","AU","Central Queensland","2019-10-18T13:00:00.000Z",1
"9099","Moranbah","pm25",9.6,"µg/m³","AU","Central Queensland","2019-10-18T12:00:00.000Z",1
"91001","Cannon Hill","pm25",8.7,"µg/m³","AU","South East Queensland","2019-10-18T12:00:00.000Z",1
"91011","Wynnum","pm25",4.3,"µg/m³","AU","South East Queensland","2019-10-18T12:00:00.000Z",1
"91021","Lytton","pm25",9.4,"µg/m³","AU","South East Queensland","2019-10-18T12:00:00.000Z",1
"91031","West Mackay","pm25",7.8,"µg/m³","AU","Central Queensland","2019-10-18T12:00:00.000Z",1
"9104","Wynnum West","pm25",6.6,"µg/m³","AU","South East Queensland","2019-10-18T12:00:00.000Z",1
"91051","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-10-18T12:00:00.000Z",1
"91061","Blackwater","pm25",8.3,"µg/m³","AU","Central Queensland","2019-10-18T12:00:00.000Z",1
"91071","Fisherman's Landing","pm25",6.9,"µg/m³","AU","Gladstone","2019-10-18T12:00:00.000Z",1
"9119","Upper Humbug","pm25",11.2,"µg/m³","AU","South West Queensland","2019-10-18T12:00:00.000Z",1
"9120","North Ward","pm25",7.5,"µg/m³","AU","Townsville","2019-10-18T12:00:00.000Z",1
"9121","South Brisbane","pm25",10.1,"µg/m³","AU","South East Queensland","2019-10-18T12:00:00.000Z",1
"9122","Hopeland","pm25",10.5,"µg/m³","AU","South West Queensland","2019-10-18T12:00:00.000Z",1
"9124","Targinie","pm25",10.3,"µg/m³","AU","Gladstone","2019-10-18T12:00:00.000Z",1
"91251","Rocklea","pm25",9.6,"µg/m³","AU","South East Queensland","2019-10-18T12:00:00.000Z",1
"91261","Boyne Island","pm25",9.1,"µg/m³","AU","Gladstone","2019-10-18T12:00:00.000Z",1
"91271","Woolloongabba","pm25",11.2,"µg/m³","AU","South East Queensland","2019-10-18T12:00:00.000Z",1
"91281","South Gladstone","pm25",8,"µg/m³","AU","Gladstone","2019-10-18T12:00:00.000Z",1
"9129","Boat Creek","pm25",10.4,"µg/m³","AU","Gladstone","2019-10-18T12:00:00.000Z",1
"91301","Southport","pm25",8,"µg/m³","AU","South East Queensland","2019-10-18T12:00:00.000Z",1
"91311","Clinton","pm25",10,"µg/m³","AU","Gladstone","2019-10-18T12:00:00.000Z",1
"9132","Springwood","pm25",7.6,"µg/m³","AU","South East Queensland","2019-10-18T12:00:00.000Z",1
"91331","North Ward","pm25",7.5,"µg/m³","AU","Townsville","2019-10-18T11:00:00.000Z",1
"9134","Upper Humbug","pm25",11.3,"µg/m³","AU","South West Queensland","2019-10-18T11:00:00.000Z",1
"9144","Cannon Hill","pm25",9,"µg/m³","AU","South East Queensland","2019-10-18T11:00:00.000Z",1
"9145","Woolloongabba","pm25",11.1,"µg/m³","AU","South East Queensland","2019-10-18T11:00:00.000Z",1
"91461","Wynnum West","pm25",6.6,"µg/m³","AU","South East Queensland","2019-10-18T11:00:00.000Z",1
"91471","Springwood","pm25",7.7,"µg/m³","AU","South East Queensland","2019-10-18T11:00:00.000Z",1
"91511","South Brisbane","pm25",10,"µg/m³","AU","South East Queensland","2019-10-18T11:00:00.000Z",1
"9152","Wynnum","pm25",4.1,"µg/m³","AU","South East Queensland","2019-10-18T11:00:00.000Z",1
"9153","Lytton","pm25",9.3,"µg/m³","AU","South East Queensland","2019-10-18T11:00:00.000Z",1
"91541","Rocklea","pm25",9.6,"µg/m³","AU","South East Queensland","2019-10-18T11:00:00.000Z",1
"91551","Southport","pm25",8,"µg/m³","AU","South East Queensland","2019-10-18T11:00:00.000Z",1
"91561","Hopeland","pm25",10.6,"µg/m³","AU","South West Queensland","2019-10-18T11:00:00.000Z",1
"9157","Clinton","pm25",10,"µg/m³","AU","Gladstone","2019-10-18T11:00:00.000Z",1
"91581","South Gladstone","pm25",7.8,"µg/m³","AU","Gladstone","2019-10-18T11:00:00.000Z",1
"91591","Boyne Island","pm25",9,"µg/m³","AU","Gladstone","2019-10-18T11:00:00.000Z",1
"91601","Targinie","pm25",10.3,"µg/m³","AU","Gladstone","2019-10-18T11:00:00.000Z",1
"91611","Fisherman's Landing","pm25",6.9,"µg/m³","AU","Gladstone","2019-10-18T11:00:00.000Z",1
"9162","Blackwater","pm25",8.3,"µg/m³","AU","Central Queensland","2019-10-18T11:00:00.000Z",1
"91631","Boat Creek","pm25",10.4,"µg/m³","AU","Gladstone","2019-10-18T11:00:00.000Z",1
"91641","West Mackay","pm25",7.8,"µg/m³","AU","Central Queensland","2019-10-18T11:00:00.000Z",1
"91651","Moranbah","pm25",9.5,"µg/m³","AU","Central Queensland","2019-10-18T11:00:00.000Z",1
"91661","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-10-18T11:00:00.000Z",1
"9179","South Gladstone","pm25",7.8,"µg/m³","AU","Gladstone","2019-10-18T10:00:00.000Z",1
"9180","North Ward","pm25",7.6,"µg/m³","AU","Townsville","2019-10-18T10:00:00.000Z",1
"9181","Upper Humbug","pm25",11.3,"µg/m³","AU","South West Queensland","2019-10-18T10:00:00.000Z",1
"9182","Lytton","pm25",9.3,"µg/m³","AU","South East Queensland","2019-10-18T10:00:00.000Z",1
"9183","Cannon Hill","pm25",8.9,"µg/m³","AU","South East Queensland","2019-10-18T10:00:00.000Z",1
"91841","Hopeland","pm25",10.6,"µg/m³","AU","South West Queensland","2019-10-18T10:00:00.000Z",1
"91851","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-10-18T10:00:00.000Z",1
"91861","Boat Creek","pm25",10.4,"µg/m³","AU","Gladstone","2019-10-18T10:00:00.000Z",1
"91871","Clinton","pm25",9.9,"µg/m³","AU","Gladstone","2019-10-18T10:00:00.000Z",1
"91881","Boyne Island","pm25",9,"µg/m³","AU","Gladstone","2019-10-18T10:00:00.000Z",1
"91891","West Mackay","pm25",7.8,"µg/m³","AU","Central Queensland","2019-10-18T10:00:00.000Z",1
"91901","Moranbah","pm25",9.4,"µg/m³","AU","Central Queensland","2019-10-18T10:00:00.000Z",1
"91911","Fisherman's Landing","pm25",7.1,"µg/m³","AU","Gladstone","2019-10-18T10:00:00.000Z",1
"91921","Targinie","pm25",10.3,"µg/m³","AU","Gladstone","2019-10-18T10:00:00.000Z",1
"91931","Blackwater","pm25",8.2,"µg/m³","AU","Central Queensland","2019-10-18T10:00:00.000Z",1
"91941","Rocklea","pm25",9.9,"µg/m³","AU","South East Queensland","2019-10-18T10:00:00.000Z",1
"9195","Southport","pm25",7.7,"µg/m³","AU","South East Queensland","2019-10-18T10:00:00.000Z",1
"9196","Woolloongabba","pm25",11,"µg/m³","AU","South East Queensland","2019-10-18T10:00:00.000Z",1
"9197","Springwood","pm25",7.6,"µg/m³","AU","South East Queensland","2019-10-18T10:00:00.000Z",1
"9198","South Brisbane","pm25",10,"µg/m³","AU","South East Queensland","2019-10-18T10:00:00.000Z",1
"9199","Wynnum West","pm25",6.6,"µg/m³","AU","South East Queensland","2019-10-18T10:00:00.000Z",1
"9200","Wynnum","pm25",4,"µg/m³","AU","South East Queensland","2019-10-18T10:00:00.000Z",1
"92071","Rocklea","pm25",9.8,"µg/m³","AU","South East Queensland","2019-10-18T09:00:00.000Z",1
"92141","Clinton","pm25",9.9,"µg/m³","AU","Gladstone","2019-10-18T09:00:00.000Z",1
"92151","Fisherman's Landing","pm25",7.2,"µg/m³","AU","Gladstone","2019-10-18T09:00:00.000Z",1
"92161","South Gladstone","pm25",7.9,"µg/m³","AU","Gladstone","2019-10-18T09:00:00.000Z",1
"92171","West Mackay","pm25",7.7,"µg/m³","AU","Central Queensland","2019-10-18T09:00:00.000Z",1
"92181","Moranbah","pm25",9.3,"µg/m³","AU","Central Queensland","2019-10-18T09:00:00.000Z",1
"92191","Blackwater","pm25",8.2,"µg/m³","AU","Central Queensland","2019-10-18T09:00:00.000Z",1
"92201","Boat Creek","pm25",10.3,"µg/m³","AU","Gladstone","2019-10-18T09:00:00.000Z",1
"92211","Boyne Island","pm25",8.9,"µg/m³","AU","Gladstone","2019-10-18T09:00:00.000Z",1
"92221","Southport","pm25",7.4,"µg/m³","AU","South East Queensland","2019-10-18T09:00:00.000Z",1
"92231","Targinie","pm25",10.2,"µg/m³","AU","Gladstone","2019-10-18T09:00:00.000Z",1
"92241","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-10-18T09:00:00.000Z",1
"92251","Upper Humbug","pm25",11.3,"µg/m³","AU","South West Queensland","2019-10-18T09:00:00.000Z",1
"92261","North Ward","pm25",7.6,"µg/m³","AU","Townsville","2019-10-18T09:00:00.000Z",1
"9227","Wynnum","pm25",4.1,"µg/m³","AU","South East Queensland","2019-10-18T09:00:00.000Z",1
"92281","Wynnum West","pm25",6.6,"µg/m³","AU","South East Queensland","2019-10-18T09:00:00.000Z",1
"92291","Lytton","pm25",9.4,"µg/m³","AU","South East Queensland","2019-10-18T09:00:00.000Z",1
"92301","Springwood","pm25",7.4,"µg/m³","AU","South East Queensland","2019-10-18T09:00:00.000Z",1
"92311","South Brisbane","pm25",10.1,"µg/m³","AU","South East Queensland","2019-10-18T09:00:00.000Z",1
"9232","Cannon Hill","pm25",8.7,"µg/m³","AU","South East Queensland","2019-10-18T09:00:00.000Z",1
"9233","Hopeland","pm25",10.6,"µg/m³","AU","South West Queensland","2019-10-18T09:00:00.000Z",1
"92341","Woolloongabba","pm25",11,"µg/m³","AU","South East Queensland","2019-10-18T09:00:00.000Z",1
"9243","North Ward","pm25",7.6,"µg/m³","AU","Townsville","2019-10-18T08:00:00.000Z",1
"9244","Upper Humbug","pm25",11.3,"µg/m³","AU","South West Queensland","2019-10-18T08:00:00.000Z",1
"9245","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-10-18T08:00:00.000Z",1
"92461","Hopeland","pm25",10.5,"µg/m³","AU","South West Queensland","2019-10-18T08:00:00.000Z",1
"92471","Cannon Hill","pm25",9,"µg/m³","AU","South East Queensland","2019-10-18T08:00:00.000Z",1
"9248","Lytton","pm25",9.4,"µg/m³","AU","South East Queensland","2019-10-18T08:00:00.000Z",1
"92491","Wynnum","pm25",4,"µg/m³","AU","South East Queensland","2019-10-18T08:00:00.000Z",1
"92501","Wynnum West","pm25",6.6,"µg/m³","AU","South East Queensland","2019-10-18T08:00:00.000Z",1
"92511","Springwood","pm25",7.2,"µg/m³","AU","South East Queensland","2019-10-18T08:00:00.000Z",1
"92521","South Brisbane","pm25",10,"µg/m³","AU","South East Queensland","2019-10-18T08:00:00.000Z",1
"92531","Woolloongabba","pm25",11,"µg/m³","AU","South East Queensland","2019-10-18T08:00:00.000Z",1
"92541","Southport","pm25",7,"µg/m³","AU","South East Queensland","2019-10-18T08:00:00.000Z",1
"92551","Rocklea","pm25",9.7,"µg/m³","AU","South East Queensland","2019-10-18T08:00:00.000Z",1
"9256","Targinie","pm25",10.1,"µg/m³","AU","Gladstone","2019-10-18T08:00:00.000Z",1
"92571","Boyne Island","pm25",8.9,"µg/m³","AU","Gladstone","2019-10-18T08:00:00.000Z",1
"92581","Boat Creek","pm25",10.2,"µg/m³","AU","Gladstone","2019-10-18T08:00:00.000Z",1
"92591","South Gladstone","pm25",7.9,"µg/m³","AU","Gladstone","2019-10-18T08:00:00.000Z",1
"92601","Clinton","pm25",9.8,"µg/m³","AU","Gladstone","2019-10-18T08:00:00.000Z",1
"92611","Fisherman's Landing","pm25",7.2,"µg/m³","AU","Gladstone","2019-10-18T08:00:00.000Z",1
"92621","Moranbah","pm25",8.9,"µg/m³","AU","Central Queensland","2019-10-18T08:00:00.000Z",1
"92631","West Mackay","pm25",7.7,"µg/m³","AU","Central Queensland","2019-10-18T08:00:00.000Z",1
"92641","Blackwater","pm25",8.1,"µg/m³","AU","Central Queensland","2019-10-18T08:00:00.000Z",1
"9280","North Ward","pm25",7.7,"µg/m³","AU","Townsville","2019-10-18T07:00:00.000Z",1
"9281","Upper Humbug","pm25",11.3,"µg/m³","AU","South West Queensland","2019-10-18T07:00:00.000Z",1
"9282","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-10-18T07:00:00.000Z",1
"9283","Hopeland","pm25",10.3,"µg/m³","AU","South West Queensland","2019-10-18T07:00:00.000Z",1
"9284","Cannon Hill","pm25",8.6,"µg/m³","AU","South East Queensland","2019-10-18T07:00:00.000Z",1
"92851","Lytton","pm25",9.9,"µg/m³","AU","South East Queensland","2019-10-18T07:00:00.000Z",1
"9286","Wynnum","pm25",4.5,"µg/m³","AU","South East Queensland","2019-10-18T07:00:00.000Z",1
"92871","Wynnum West","pm25",6.9,"µg/m³","AU","South East Queensland","2019-10-18T07:00:00.000Z",1
"92881","South Brisbane","pm25",9.9,"µg/m³","AU","South East Queensland","2019-10-18T07:00:00.000Z",1
"92891","Springwood","pm25",8,"µg/m³","AU","South East Queensland","2019-10-18T07:00:00.000Z",1
"92901","Woolloongabba","pm25",10.8,"µg/m³","AU","South East Queensland","2019-10-18T07:00:00.000Z",1
"92911","Southport","pm25",6.3,"µg/m³","AU","South East Queensland","2019-10-18T07:00:00.000Z",1
"92921","Rocklea","pm25",9.8,"µg/m³","AU","South East Queensland","2019-10-18T07:00:00.000Z",1
"92931","Targinie","pm25",10,"µg/m³","AU","Gladstone","2019-10-18T07:00:00.000Z",1
"92941","Boyne Island","pm25",8.8,"µg/m³","AU","Gladstone","2019-10-18T07:00:00.000Z",1
"92951","Boat Creek","pm25",10.1,"µg/m³","AU","Gladstone","2019-10-18T07:00:00.000Z",1
"92961","South Gladstone","pm25",7.7,"µg/m³","AU","Gladstone","2019-10-18T07:00:00.000Z",1
"9297","Clinton","pm25",9.7,"µg/m³","AU","Gladstone","2019-10-18T07:00:00.000Z",1
"92981","Fisherman's Landing","pm25",6.9,"µg/m³","AU","Gladstone","2019-10-18T07:00:00.000Z",1
"92991","Moranbah","pm25",8.9,"µg/m³","AU","Central Queensland","2019-10-18T07:00:00.000Z",1
"93001","West Mackay","pm25",7.6,"µg/m³","AU","Central Queensland","2019-10-18T07:00:00.000Z",1
"93011","Blackwater","pm25",8,"µg/m³","AU","Central Queensland","2019-10-18T07:00:00.000Z",1
"93021","Upper Humbug","pm25",11.2,"µg/m³","AU","South West Queensland","2019-10-18T06:00:00.000Z",1
"93031","North Ward","pm25",7.7,"µg/m³","AU","Townsville","2019-10-18T06:00:00.000Z",1
"9304","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-10-18T06:00:00.000Z",1
"93051","Hopeland","pm25",10.2,"µg/m³","AU","South West Queensland","2019-10-18T06:00:00.000Z",1
"93061","Cannon Hill","pm25",9.1,"µg/m³","AU","South East Queensland","2019-10-18T06:00:00.000Z",1
"9307","Wynnum","pm25",4.8,"µg/m³","AU","South East Queensland","2019-10-18T06:00:00.000Z",1
"9308","Lytton","pm25",10.2,"µg/m³","AU","South East Queensland","2019-10-18T06:00:00.000Z",1
"9309","Wynnum West","pm25",7.4,"µg/m³","AU","South East Queensland","2019-10-18T06:00:00.000Z",1
"9310","South Brisbane","pm25",9.9,"µg/m³","AU","South East Queensland","2019-10-18T06:00:00.000Z",1
"9311","Springwood","pm25",8,"µg/m³","AU","South East Queensland","2019-10-18T06:00:00.000Z",1
"9312","Woolloongabba","pm25",10.8,"µg/m³","AU","South East Queensland","2019-10-18T06:00:00.000Z",1
"9313","Southport","pm25",6.3,"µg/m³","AU","South East Queensland","2019-10-18T06:00:00.000Z",1
"9314","Rocklea","pm25",9.9,"µg/m³","AU","South East Queensland","2019-10-18T06:00:00.000Z",1
"9315","Targinie","pm25",9.9,"µg/m³","AU","Gladstone","2019-10-18T06:00:00.000Z",1
"9316","Boyne Island","pm25",8.7,"µg/m³","AU","Gladstone","2019-10-18T06:00:00.000Z",1
"9317","South Gladstone","pm25",7.7,"µg/m³","AU","Gladstone","2019-10-18T06:00:00.000Z",1
"9318","Boat Creek","pm25",10,"µg/m³","AU","Gladstone","2019-10-18T06:00:00.000Z",1
"9319","Clinton","pm25",9.6,"µg/m³","AU","Gladstone","2019-10-18T06:00:00.000Z",1
"9320","Fisherman's Landing","pm25",7.1,"µg/m³","AU","Gladstone","2019-10-18T06:00:00.000Z",1
"9321","Moranbah","pm25",8.8,"µg/m³","AU","Central Queensland","2019-10-18T06:00:00.000Z",1
"93221","West Mackay","pm25",7.6,"µg/m³","AU","Central Queensland","2019-10-18T06:00:00.000Z",1
"9323","Blackwater","pm25",8,"µg/m³","AU","Central Queensland","2019-10-18T06:00:00.000Z",1
"93461","North Ward","pm25",7.7,"µg/m³","AU","Townsville","2019-10-18T05:00:00.000Z",1
"93471","Cannon Hill","pm25",9.4,"µg/m³","AU","South East Queensland","2019-10-18T05:00:00.000Z",1
"93481","Upper Humbug","pm25",11,"µg/m³","AU","South West Queensland","2019-10-18T05:00:00.000Z",1
"93491","Lytton","pm25",10.6,"µg/m³","AU","South East Queensland","2019-10-18T05:00:00.000Z",1
"93501","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-10-18T05:00:00.000Z",1
"93511","Hopeland","pm25",10,"µg/m³","AU","South West Queensland","2019-10-18T05:00:00.000Z",1
"93521","Wynnum","pm25",4.9,"µg/m³","AU","South East Queensland","2019-10-18T05:00:00.000Z",1
"93531","Wynnum West","pm25",7.8,"µg/m³","AU","South East Queensland","2019-10-18T05:00:00.000Z",1
"93541","South Brisbane","pm25",9.9,"µg/m³","AU","South East Queensland","2019-10-18T05:00:00.000Z",1
"93551","Springwood","pm25",7.9,"µg/m³","AU","South East Queensland","2019-10-18T05:00:00.000Z",1
"93561","Woolloongabba","pm25",10.8,"µg/m³","AU","South East Queensland","2019-10-18T05:00:00.000Z",1
"93571","Southport","pm25",6.5,"µg/m³","AU","South East Queensland","2019-10-18T05:00:00.000Z",1
"93581","Rocklea","pm25",10.1,"µg/m³","AU","South East Queensland","2019-10-18T05:00:00.000Z",1
"93591","Targinie","pm25",9.8,"µg/m³","AU","Gladstone","2019-10-18T05:00:00.000Z",1
"9360","Boyne Island","pm25",8.6,"µg/m³","AU","Gladstone","2019-10-18T05:00:00.000Z",1
"93611","Boat Creek","pm25",9.8,"µg/m³","AU","Gladstone","2019-10-18T05:00:00.000Z",1
"93621","South Gladstone","pm25",7.6,"µg/m³","AU","Gladstone","2019-10-18T05:00:00.000Z",1
"93631","Clinton","pm25",9.5,"µg/m³","AU","Gladstone","2019-10-18T05:00:00.000Z",1
"93641","Fisherman's Landing","pm25",6.9,"µg/m³","AU","Gladstone","2019-10-18T05:00:00.000Z",1
"9365","Moranbah","pm25",8.7,"µg/m³","AU","Central Queensland","2019-10-18T05:00:00.000Z",1
"9366","West Mackay","pm25",7.5,"µg/m³","AU","Central Queensland","2019-10-18T05:00:00.000Z",1
"9367","Blackwater","pm25",8,"µg/m³","AU","Central Queensland","2019-10-18T05:00:00.000Z",1
"93791","North Ward","pm25",7.7,"µg/m³","AU","Townsville","2019-10-18T04:00:00.000Z",1
"93801","Upper Humbug","pm25",10.8,"µg/m³","AU","South West Queensland","2019-10-18T04:00:00.000Z",1
"93811","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-10-18T04:00:00.000Z",1
